population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,2000,2000-05-26,1,Unk,Nat,737,passed,Unk,4,NA,NA,NA,4,FALSE,1ROP,1 fresh yellow gen. Vial.  Small bruise on snout.
CAT,2000,2000-05-26,1,Unk,Nat,735,passed,Unk,4,NA,NA,NA,4,FALSE,1ROP,Two cuts
CAT,2000,2000-05-28,1,Unk,Nat,665,removed,Unk,4,NA,NA,NA,4,FALSE,1ROP,"1 small scar on forehead above eyes, left eye cloudy."
CAT,2000,2000-05-30,1,Unk,Nat,690,removed,Unk,4,NA,NA,NA,4,FALSE,1ROP,Right - 3 patches flesh.  Left - 2 patches flesh
CAT,2000,2000-06-02,1,Unk,Nat,723,passed,Unk,4,NA,NA,NA,4,FALSE,1ROP,1 small healed scar on l. side quarter - 2 small nicks on snout
CAT,2000,2000-06-03,1,M,Nat,724,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Caudal fin split. No other marks. Pics 7-10.
CAT,2000,2000-06-03,1,Unk,Nat,740,removed,Unk,4,NA,NA,NA,4,FALSE,1ROP,Few old nose nicks. Left ventral fin missing. Pics 11-14.
CAT,2000,2000-06-03,1,M,Nat,750,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Scratch on front dorsal fin. Pic 15-17. Red semi-circle rt. Eye.
CAT,2000,2000-06-05,1,M,Nat,800,removed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Pictures 18 & 19 - dorsal scratch between eye 1/2"" long - anterior ray of dorsal fin"
CAT,2000,2000-06-06,1,M,Nat,735,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Healed abrasion.
CAT,2000,2000-06-07,1,F,Nat,740,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Split left ventral fin, several nicks. Not recovering well."
CAT,2000,2000-06-07,1,F,Nat,705,passed,Adult,4,NA,NA,NA,4,FALSE,2ROP,Nice! Old scrapes. A few scratches.
CAT,2000,2000-06-08,1,Unk,Nat,790,removed,Unk,4,NA,NA,NA,4,FALSE,1ROP,No film.  Bleeding from gills. Blood from DS injection. Left in tube 25.
CAT,2000,2000-06-08,1,Unk,Nat,735,removed,Unk,4,NA,NA,NA,4,FALSE,,Took video on weir. Dead -- jumped up between picketts.
CAT,2000,2000-06-10,1,F,Nat,715,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Had wound above rt eye and at joint of left pec.
CAT,2000,2000-06-15,1,F,Nat,800,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,Wounds on dorsal tail & fungus.
CAT,2000,2000-06-26,1,M,Nat,535,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,Dorsal fin chunk out of couple rays. Pics 6-8
CAT,2000,2000-06-26,1,F,Nat,747,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Scrape on nose 1"" above eyes, fresh. 2 marks right op.  Pics 1-5"
CAT,2000,2000-06-26,1,M,Nat,840,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Wild fish - looks good 1 s LOP, 1 s L nare.  Pics 32-36"
CAT,2000,2000-06-30,1,M,Nat,485,passed,Adult,3,NA,NA,NA,3,FALSE,1ROP,"Excellent condition. Small healed 1/2"" round nose scar."
CAT,2000,2000-07-14,1,M,Nat,665,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Good condition. Small scars nose.
CAT,2000,2000-07-15,1,Unk,Nat,785,passed,Unk,4,NA,NA,NA,4,FALSE,1ROP,Scrape marks left side. Chunk out of nose area. Injury LOP. Split top caudal fin. Small split on ana
CAT,2000,2000-07-21,1,M,Nat,715,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-21,1,F,Nat,682,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-21,1,M,Nat,882,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,
CAT,2001,2001-05-23,1,M,Nat,717,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,scar above right eye
CAT,2001,2001-05-23,1,M,Nat,706,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2001,2001-05-23,1,M,Nat,706,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2001,2001-05-23,1,M,Nat,655,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-23,1,F,Nat,838,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,
CAT,2001,2001-05-24,1,F,Nat,660,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-25,1,M,Nat,704,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small scar in front of dorsal fin
CAT,2001,2001-05-26,1,F,Nat,647,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small scar on left side
CAT,2001,2001-05-27,1,M,Nat,715,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-28,1,M,Nat,750,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,White spot in front of caudal fin - dorsal side
CAT,2001,2001-05-31,1,M,Nat,723,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-05-31,1,F,Nat,686,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,scar on tail
CAT,2001,2001-06-01,1,F,Nat,743,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-01,1,F,Nat,743,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,M,Nat,754,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,3 small scars above right eye
CAT,2001,2001-06-02,1,F,Nat,732,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,M,Nat,738,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,F,Nat,703,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,F,Nat,703,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,M,Nat,621,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,F,Nat,689,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-02,1,F,Nat,724,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Scars on back
CAT,2001,2001-06-03,1,M,Nat,762,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small scar on nose
CAT,2001,2001-06-05,1,M,Nat,645,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"1 1/4"" gash  on  top of head over left gill plate"
CAT,2001,2001-06-05,1,M,Nat,610,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-05,1,M,Nat,610,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-07,1,F,Nat,734,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small scar on nose
CAT,2001,2001-06-07,1,M,Nat,782,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small scar on nose
CAT,2001,2001-06-07,1,M,Nat,735,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Big white dorsal fin
CAT,2001,2001-06-07,1,M,Nat,730,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Tail fin injury
CAT,2001,2001-06-08,1,F,Nat,678,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Old scar on nose
CAT,2001,2001-06-08,1,F,Nat,675,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Fresh scratch on head.  Scratch on side notch in dorsal fin.
CAT,2001,2001-06-08,1,M,Nat,668,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Top of caudal missing
CAT,2001,2001-06-08,1,F,Nat,710,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Rip on rt operculum due to punch.  Little scar on nose.
CAT,2001,2001-06-08,1,F,Nat,635,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Nice fish
CAT,2001,2001-06-09,1,M,Nat,603,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Small nick on nose (old)
CAT,2001,2001-06-10,1,M,Hat,490,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2001,2001-06-10,1,F,Nat,728,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Old scars on right
CAT,2001,2001-06-10,1,M,Nat,705,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-10,1,M,Nat,725,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Scar above rt pectoral
CAT,2001,2001-06-10,1,M,Nat,765,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"2"" long old gash left side.  2 old scars above pec fin both sides"
CAT,2001,2001-06-10,1,F,Nat,745,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Light colored
CAT,2001,2001-06-10,1,F,Nat,666,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,
CAT,2001,2001-06-10,1,M,Nat,765,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Nick on top of tail
CAT,2001,2001-06-10,1,F,Nat,657,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"Scar above rt pectoral, 3"" long and straight up"
