population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,2007,2007-06-03,1,M,Hat,728,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,753,removed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,450,removed,Adult,3,3,3,NA,3,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,443,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,475,passed,Adult,3,NA,3,NA,3,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,450,passed,Adult,3,NA,NA,3,3,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,703,removed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,687,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,690,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,696,passed,Adult,4,NA,NA,4,4,FALSE,,Head burn
CAT,2007,2007-06-03,1,F,Hat,700,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,660,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,633,passed,Adult,4,NA,4,4,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,675,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,680,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,665,passed,Adult,4,NA,NA,NA,4,FALSE,,Head burn
CAT,2007,2007-06-03,1,M,Hat,665,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,710,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,765,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,740,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,699,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,728,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,825,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,752,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,708,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,767,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,904,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,830,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,875,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,821,passed,Adult,4,NA,NA,4,5,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,723,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,708,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,755,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,815,passed,Adult,5,NA,NA,NA,5,FALSE,,CAUDAL WOUND
CAT,2007,2007-06-03,1,M,Hat,715,passed,Adult,4,NA,NA,NA,4,FALSE,,NET MARK
CAT,2007,2007-06-03,1,F,Hat,884,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,664,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,765,passed,Adult,5,NA,NA,5,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,770,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,773,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,872,passed,Adult,5,NA,5,5,5,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,751,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,809,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,754,passed,Adult,4,NA,NA,NA,4,FALSE,,WOUND LEFT SIDE
CAT,2007,2007-06-03,1,F,Nat,837,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,680,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,672,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,762,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,869,passed,Adult,5,NA,NA,NA,5,FALSE,,"Split nose 3"""
CAT,2007,2007-06-03,1,F,Hat,685,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,678,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,830,passed,Adult,4,NA,NA,4,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,722,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,585,passed,Adult,4,NA,NA,4,3,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,769,passed,Adult,4,NA,NA,NA,4,FALSE,,Net injury
CAT,2007,2007-06-03,1,M,Nat,962,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,722,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,814,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,602,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,744,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,877,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,777,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,734,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,835,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,812,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,950,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,795,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,872,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,789,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,774,passed,Adult,4,NA,NA,NA,4,FALSE,,Nose clipped
CAT,2007,2007-06-03,1,M,Hat,805,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,667,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,620,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,722,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,780,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,760,passed,Adult,4,NA,NA,4,4,FALSE,,SCRAPE ON NOSE AND HEAD
CAT,2007,2007-06-03,1,F,Hat,707,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,815,passed,Adult,5,NA,NA,NA,5,FALSE,,"CAUDAL DAMAGE, NET MARKS"
CAT,2007,2007-06-03,1,F,Hat,840,passed,Adult,5,NA,NA,NA,5,FALSE,,Seal damage rt. Side
CAT,2007,2007-06-03,1,F,Nat,700,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,750,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,683,passed,Adult,4,NA,NA,4,4,FALSE,,Jaw injury
CAT,2007,2007-06-03,1,F,Hat,701,passed,Adult,4,NA,NA,NA,4,FALSE,,Seal scar
CAT,2007,2007-06-03,1,M,Hat,681,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,F,Nat,944,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-03,1,M,Nat,579,passed,Adult,3,NA,NA,3,3,FALSE,,
CAT,2007,2007-06-03,1,F,Hat,740,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-03,1,M,Hat,822,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-05,1,F,Hat,780,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-05,1,F,Hat,684,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-05,1,F,Hat,684,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-06,1,M,Hat,806,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-06,1,M,Hat,698,passed,Adult,4,NA,NA,NA,4,FALSE,,Wound on snout
CAT,2007,2007-06-06,1,F,Nat,719,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-06,1,M,Hat,485,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-06,1,F,Nat,695,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-06,1,M,Nat,673,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-06,1,F,Hat,694,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-06,1,M,Hat,740,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-06,1,F,Hat,704,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-07,1,M,Hat,504,removed,Adult,3,3,3,NA,3,FALSE,,
CAT,2007,2007-06-08,1,M,Hat,500,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-08,1,M,Hat,735,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-08,1,M,Nat,874,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-08,1,F,Hat,681,removed,Adult,4,NA,NA,NA,4,FALSE,,Bad clip
CAT,2007,2007-06-08,1,F,Hat,700,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-08,1,M,Hat,702,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-08,1,F,Hat,788,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-11,1,M,Hat,660,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-11,1,F,Nat,674,passed,Adult,4,NA,NA,4,4,FALSE,,Severe head burn
CAT,2007,2007-06-11,1,F,Hat,657,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-11,1,M,Hat,465,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-11,1,M,Hat,485,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-11,1,M,Hat,424,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-11,1,M,Hat,389,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-11,1,M,Nat,755,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-12,1,M,Nat,415,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2007,2007-06-12,1,M,Hat,704,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-12,1,M,Nat,445,passed,Adult,3,NA,NA,3,3,FALSE,,
CAT,2007,2007-06-12,1,F,Hat,741,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-12,1,M,Nat,680,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-13,1,M,Hat,374,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2007,2007-06-13,1,M,Hat,711,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-13,1,F,Hat,709,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-13,1,F,Nat,802,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-13,1,F,Nat,809,passed,Adult,5,NA,NA,5,5,FALSE,,Left eye gone OP damage
CAT,2007,2007-06-13,1,M,Hat,651,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-13,1,M,Hat,760,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-13,1,M,Hat,746,passed,Adult,4,NA,NA,NA,4,FALSE,,Bad clip
CAT,2007,2007-06-15,1,F,Hat,677,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Nat,662,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,689,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Nat,701,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-15,1,M,Hat,666,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,720,removed,Adult,4,NA,NA,NA,4,FALSE,,HEAD BURN
CAT,2007,2007-06-15,1,F,Nat,702,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,M,Hat,467,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-15,1,F,Nat,704,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,M,Hat,395,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,740,passed,Adult,4,NA,NA,NA,4,FALSE,,Snout split
CAT,2007,2007-06-15,1,F,Hat,699,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Nat,808,removed,Adult,5,NA,NA,NA,5,FALSE,,Head burn
CAT,2007,2007-06-15,1,M,Nat,791,passed,Adult,5,NA,NA,5,4,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,735,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,734,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,M,Hat,787,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-15,1,F,Hat,825,passed,Adult,5,NA,NA,NA,5,FALSE,,HEAD BURN
CAT,2007,2007-06-15,1,F,Hat,824,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-15,1,F,Nat,736,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-16,1,F,Hat,710,removed,Adult,4,4,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,745,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,605,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,374,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,430,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,421,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,500,removed,Adult,3,3,3,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,506,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,455,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,494,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,739,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,658,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,744,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,775,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,M,Hat,702,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,696,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-17,1,F,Hat,727,removed,Adult,4,NA,NA,NA,4,FALSE,,SLIGHT HEAD BURN RT SIDE
CAT,2007,2007-06-17,1,F,Nat,778,passed,Adult,5,NA,NA,5,4,FALSE,,SLIGHT HEAD BURN
CAT,2007,2007-06-17,1,M,Nat,863,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2007,2007-06-17,1,M,Nat,444,passed,Adult,3,NA,NA,3,3,FALSE,,
CAT,2007,2007-06-19,1,F,Hat,860,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-19,1,F,Hat,748,removed,Adult,4,4,NA,NA,4,FALSE,,Severe head burn
CAT,2007,2007-06-19,1,M,Hat,490,removed,Adult,3,3,3,NA,3,FALSE,,
CAT,2007,2007-06-19,1,M,Hat,440,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-19,1,F,Hat,720,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-19,1,M,Hat,820,removed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-19,1,F,Hat,722,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-19,1,F,Hat,745,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-19,1,M,Hat,910,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2007,2007-06-20,1,M,Hat,415,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2007,2007-06-20,1,M,Nat,871,removed,Adult,5,NA,NA,NA,5,FALSE,,Severe head burn
CAT,2007,2007-06-20,1,M,Hat,495,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-20,1,M,Hat,720,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-20,1,M,Hat,726,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-20,1,M,Nat,816,passed,Adult,5,NA,NA,5,5,FALSE,,Severe head burn
CAT,2007,2007-06-20,1,F,Nat,682,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-21,1,M,Hat,854,removed,Adult,5,5,NA,NA,5,FALSE,,"Severe head burn,Snout split"
CAT,2007,2007-06-22,1,F,Hat,750,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,F,Hat,690,removed,Adult,4,4,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,M,Nat,423,passed,Adult,3,NA,NA,3,3,FALSE,,
CAT,2007,2007-06-22,1,M,Hat,434,removed,Adult,3,3,NA,NA,3,FALSE,,
CAT,2007,2007-06-22,1,M,Hat,514,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2007,2007-06-22,1,F,Hat,740,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,F,Nat,702,removed,Adult,4,NA,NA,NA,4,FALSE,,rt. Pec injury
CAT,2007,2007-06-22,1,F,Hat,755,removed,Adult,4,NA,NA,NA,4,FALSE,,lower jaw injury
CAT,2007,2007-06-22,1,M,Nat,987,removed,Adult,5,NA,NA,NA,5,FALSE,,Blind rt. Eye
CAT,2007,2007-06-22,1,F,Hat,712,passed,Adult,4,NA,NA,NA,4,FALSE,,Frayed caudal
CAT,2007,2007-06-22,1,F,Hat,716,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,M,Hat,776,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,M,Nat,653,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-06-22,1,F,Nat,675,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2007,2007-06-23,1,M,Hat,800,removed,Adult,5,5,NA,NA,5,FALSE,,
CAT,2007,2007-06-25,1,M,Hat,410,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2007,2007-06-25,1,F,Nat,735,passed,Adult,4,NA,NA,4,4,FALSE,,Head burn torn eye
CAT,2007,2007-06-25,1,M,Hat,730,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2007,2007-07-03,1,M,Hat,765,passed,Adult,4,NA,NA,NA,4,FALSE,,Caught below Hawkins dam transported above
CAT,2008,2008-05-27,1,M,Nat,749,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-10,1,F,Hat,665,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-13,1,M,Hat,709,passed,Adult,4,NA,NA,NA,4,FALSE,,Dorsal inj.
CAT,2008,2008-06-13,1,F,Hat,700,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Hat,649,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,M,Nat,685,removed,Adult,4,NA,NA,NA,4,FALSE,,"Caution, fish does not match with weir record"
CAT,2008,2008-06-16,1,M,Nat,769,passed,Adult,4,NA,4,4,4,FALSE,,
CAT,2008,2008-06-16,1,F,Nat,690,removed,Adult,4,NA,NA,NA,4,FALSE,,Fork Length Corrected Based on Spawning Records
CAT,2008,2008-06-16,1,F,Hat,695,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Nat,686,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-16,1,M,Hat,732,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Hat,738,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Nat,710,passed,Adult,4,NA,NA,4,4,FALSE,,Dorasl and caudal split
CAT,2008,2008-06-16,1,M,Hat,764,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Hat,761,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2008,2008-06-16,1,F,Hat,695,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-16,1,M,Nat,744,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-16,1,F,Nat,711,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-16,1,F,Nat,858,passed,Adult,5,NA,NA,5,5,FALSE,,Tail injury
CAT,2008,2008-06-17,1,F,Nat,829,passed,Adult,5,NA,NA,5,5,FALSE,,
CAT,2008,2008-06-17,1,F,Nat,757,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-17,1,M,Hat,677,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-17,1,M,Nat,734,passed,Adult,4,NA,NA,4,4,FALSE,,Inj. Eye Rt.
CAT,2008,2008-06-17,1,M,Nat,751,passed,Adult,5,NA,NA,5,4,FALSE,,
CAT,2008,2008-06-17,1,F,Nat,713,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-17,1,M,Nat,672,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-17,1,F,Nat,721,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-17,1,F,Hat,762,passed,Adult,4,NA,NA,NA,4,FALSE,,Split caudal
CAT,2008,2008-06-17,1,M,Hat,657,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,525,passed,Adult,3,NA,3,NA,3,FALSE,,
CAT,2008,2008-06-18,1,F,Nat,742,passed,Adult,5,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,661,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,F,Nat,716,removed,Adult,4,NA,NA,NA,4,FALSE,,Fork Length Corrected Based on Spawning Records
CAT,2008,2008-06-18,1,F,Nat,660,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,695,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,681,passed,Adult,4,NA,NA,4,4,FALSE,,Lower jaw injury
CAT,2008,2008-06-18,1,F,Nat,715,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,716,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,F,Hat,690,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,767,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2008,2008-06-18,1,F,Nat,701,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,824,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,727,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,F,Hat,674,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,F,Nat,688,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,F,Nat,633,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,785,removed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,680,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Nat,759,passed,Adult,4,NA,4,4,4,FALSE,,
CAT,2008,2008-06-18,1,M,Hat,752,removed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2008,2008-06-19,1,F,Hat,741,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-19,1,F,Hat,871,passed,Adult,5,NA,NA,NA,5,FALSE,,
CAT,2008,2008-06-19,1,F,Hat,719,passed,Adult,4,NA,4,NA,4,FALSE,,
CAT,2008,2008-06-19,1,M,Hat,512,passed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2008,2008-06-19,1,F,Hat,680,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-19,1,M,Hat,788,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-19,1,M,Nat,725,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-19,1,M,Hat,720,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-20,1,F,Nat,636,passed,Adult,4,NA,NA,4,4,FALSE,,
CAT,2008,2008-06-20,1,F,Hat,745,removed,Adult,4,4,NA,NA,4,FALSE,,Fork Length Corrected Based on Spawning Records
CAT,2008,2008-06-20,1,F,Hat,741,passed,Adult,4,NA,NA,NA,4,FALSE,,
CAT,2008,2008-06-20,1,F,Nat,635,passed,Adult,4,NA,NA,4,4,FALSE,,
